,start_at,end_at,timeout,node,bottleneck,status,bottleneck_id
680,2020-12-14 03:48:25,2020-12-14 03:49:25,60,GW111,network_packet_corrupt,FAILED,547874ae-0b90-42e2-af16-841f23bdb610
681,2020-12-14 03:57:28,2020-12-14 03:58:28,60,SRV,network_delay,COMPLETED,3ec605e3-63f6-42b2-aebe-2e3ce7bf845e
682,2020-12-14 03:45:55,2020-12-14 03:46:55,60,GW11,network_packet_loss,COMPLETED,37bf625e-90f3-4761-8cca-7ad7019f9e0d
683,2020-12-14 03:52:56,2020-12-14 03:54:26,90,GW1,network_packet_loss,COMPLETED,57f52972-3cf2-4456-a89d-29638fe91bfd
684,2020-12-14 03:40:53,2020-12-14 03:41:53,60,GW111,cpu,COMPLETED,04b97ad9-649f-441f-ad08-3faf4c124047
685,2020-12-14 03:43:54,2020-12-14 03:45:24,90,GW11,cpu,COMPLETED,69f60b8f-96fb-49e6-aed4-3800125d7024
686,2020-12-14 03:58:58,2020-12-14 03:59:58,60,GW1,network_delay,COMPLETED,4e2e8301-4177-4e34-9edb-f6d689710e60
687,2020-12-14 03:51:26,2020-12-14 03:52:26,60,SRV,network_packet_loss,COMPLETED,b1c92cb0-80c3-4d3e-a0c5-60b1562b922f
688,2020-12-14 03:49:25,2020-12-14 03:50:25,60,SRV,diskio,COMPLETED,ee956abe-a02f-4561-ae76-a56e8ad7ff31
689,2020-12-14 03:45:24,2020-12-14 03:46:24,60,GW111,network_delay,FAILED,69986769-b4b4-4c79-93ba-937e8db76aa1
690,2020-12-14 03:54:27,2020-12-14 03:55:27,60,GW111,cpu,COMPLETED,2c65fdb1-a825-4579-ad6c-935c1ed861d1
691,2020-12-14 03:50:56,2020-12-14 03:51:56,60,SRV,cpu,COMPLETED,1cd6dcaf-15a2-4cec-8ccf-b001af5c6ecd
692,2020-12-14 03:53:27,2020-12-14 03:54:27,60,SRV,memory,COMPLETED,61d6b992-1faa-41fe-bf27-7ef214db8c68
693,2020-12-14 03:39:23,2020-12-14 03:41:23,120,SRV,diskspace,COMPLETED,9b78d8b9-39d1-4206-87cc-f5a16dd96a18
694,2020-12-14 03:52:26,2020-12-14 03:54:26,120,GW11,memory,COMPLETED,dc4b7cdf-39ce-4c40-be6f-7de9780a169f
695,2020-12-14 03:51:56,2020-12-14 03:53:26,90,GW11,network_packet_corrupt,COMPLETED,12df91c8-2c8c-4414-9fae-6d8d8d4a14d0
696,2020-12-14 03:54:57,2020-12-14 03:55:57,60,GW1,network_packet_corrupt,COMPLETED,afcc08cf-e7a5-4f96-83ca-594b56ba4d45
697,2020-12-14 03:47:55,2020-12-14 03:48:55,60,GW11,diskio,COMPLETED,0860583b-dba3-4ca9-83ba-6162b7d461b8
698,2020-12-14 03:55:27,2020-12-14 03:57:27,120,GW111,memory,COMPLETED,99c962a4-6ecd-4a1e-a66a-cea1fe2bce47
699,2020-12-14 03:41:53,2020-12-14 03:43:53,120,GW111,cpu,FAILED,eee930f0-cbe4-4df9-9075-31ba63c58e14
700,2020-12-14 03:47:25,2020-12-14 03:48:55,90,SRV,diskspace,COMPLETED,2cddaac4-8252-4dcf-8aca-69e3af758965
701,2020-12-14 03:58:28,2020-12-14 03:59:28,60,SRV,cpu,COMPLETED,f91ec042-35c4-4e79-8dd0-39d2742538ef
702,2020-12-14 03:41:23,2020-12-14 03:42:23,60,GW11,memory,COMPLETED,8f276816-a7bd-4bbf-98db-6de532cb6669
703,2020-12-14 03:56:57,2020-12-14 03:58:27,90,GW11,memory,COMPLETED,2767005a-c76a-4d3b-81a4-d1681fa0b321
704,2020-12-14 03:42:23,2020-12-14 03:44:23,120,GW111,network_packet_corrupt,COMPLETED,263e7f7d-945a-4291-8708-f88f8bee1b0d
705,2020-12-14 03:44:54,2020-12-14 03:46:24,90,GW111,network_packet_corrupt,COMPLETED,507ed63b-6e72-41d3-85ea-538362bad5d8
706,2020-12-14 03:40:23,2020-12-14 03:41:23,60,GW111,diskio,COMPLETED,027e6a8a-03e4-41f4-8d44-b10bb693ac45
707,2020-12-14 03:46:55,2020-12-14 03:48:55,120,GW1,cpu,COMPLETED,7089e9a4-7047-4aa5-835b-14a8b4900e09
708,2020-12-14 03:56:27,2020-12-14 03:57:57,90,GW111,network_packet_duplicate,COMPLETED,2b4309e2-1145-4a4a-a4a8-20519719bc8d
709,2020-12-14 03:46:25,2020-12-14 03:47:25,60,GW111,memory,COMPLETED,dd06832f-d8f6-4e2d-95b6-415382bfe874
710,2020-12-14 03:44:24,2020-12-14 03:46:24,120,GW1,cpu,COMPLETED,34596fe7-16b2-4d2c-8482-6555598b4d99
711,2020-12-14 03:48:55,2020-12-14 03:49:55,60,GW1,cpu,FAILED,59943fed-c972-4cd3-b205-17cb854c02c7
712,2020-12-14 03:49:56,2020-12-14 03:51:26,90,GW11,network_packet_duplicate,COMPLETED,c60f46a0-b159-4799-891a-db3d3c4899bb
713,2020-12-14 03:57:58,2020-12-14 03:59:28,90,SRV,diskio,COMPLETED,bd3d66db-43f5-4616-96da-3bb209293c5f
714,2020-12-14 03:42:54,2020-12-14 03:44:54,120,GW11,diskspace,COMPLETED,f0a9d0be-6108-4e15-a72e-6c58726868ad
715,2020-12-14 03:50:26,2020-12-14 03:51:26,60,GW111,network_packet_loss,COMPLETED,f7050cd8-89aa-4678-addd-53020afca227
716,2020-12-14 03:39:53,2020-12-14 03:41:23,90,GW11,network_delay,COMPLETED,11e6f205-1d17-4a68-b3b1-f5b2d3bc7b43
717,2020-12-14 03:43:24,2020-12-14 03:44:24,60,GW1,network_delay,COMPLETED,babd775c-c12b-48a5-92b7-86cc56af2a19
718,2020-12-14 03:55:57,2020-12-14 03:57:27,90,GW111,memory,FAILED,5389c5a9-eaba-4afe-b5d7-6b6de7958fc2
719,2020-12-14 03:53:57,2020-12-14 03:55:57,120,SRV,network_packet_corrupt,COMPLETED,363a0689-224b-40f3-8e56-3b71d36103e2
720,2020-12-14 04:05:56,2020-12-14 04:06:56,60,GW111,diskio,COMPLETED,5a2b29de-0b28-4176-b290-5ade8291ea5d
721,2020-12-14 04:11:28,2020-12-14 04:12:28,60,GW111,cpu,COMPLETED,c0b038f8-4c5d-4f0d-bf53-e9cdf2a610f8
722,2020-12-14 04:11:58,2020-12-14 04:12:58,60,SRV,cpu,COMPLETED,3a6e1048-45af-4414-a27c-7b4f084ee640
723,2020-12-14 04:12:58,2020-12-14 04:13:58,60,GW1,network_packet_loss,COMPLETED,312941fa-8927-425d-ac67-fc8dd75cfcda
724,2020-12-14 04:16:29,2020-12-14 04:17:59,90,SRV,diskspace,COMPLETED,10ac65b1-cd01-4124-b554-666750a39dbd
725,2020-12-14 04:09:27,2020-12-14 04:10:27,60,GW11,network_packet_loss,COMPLETED,9f47772b-9bed-4352-91f8-0f9609ded56c
726,2020-12-14 04:06:56,2020-12-14 04:08:26,90,SRV,network_delay,COMPLETED,21e53c0e-4f35-4826-b5ae-f5d17e637154
727,2020-12-14 04:12:28,2020-12-14 04:13:28,60,GW111,diskspace,COMPLETED,c6d95c32-6516-4a46-8f33-fae886fdc07f
728,2020-12-14 04:04:26,2020-12-14 04:05:26,60,SRV,diskspace,COMPLETED,17c866e8-47e9-4c14-8117-5d87e8d14321
729,2020-12-14 04:03:26,2020-12-14 04:04:26,60,GW11,cpu,COMPLETED,1b093f48-93a6-4b86-ad1b-32e0326a9b04
730,2020-12-14 04:07:27,2020-12-14 04:08:27,60,GW111,memory,COMPLETED,c2855e19-1dee-4f35-bb3a-a9db45752fa0
731,2020-12-14 04:13:28,2020-12-14 04:15:28,120,GW1,cpu,FAILED,80b22993-e828-4b5b-9555-fab0326c3910
732,2020-12-14 04:04:56,2020-12-14 04:06:56,120,GW1,memory,COMPLETED,1bebee58-446a-4334-9e2c-d22b04176418
733,2020-12-14 04:16:59,2020-12-14 04:17:59,60,GW1,diskio,COMPLETED,60492ca1-e8aa-400d-8840-c98379c8f7e0
734,2020-12-14 04:17:29,2020-12-14 04:18:59,90,SRV,memory,COMPLETED,d9f6652b-c100-4a81-b260-8d5330adeb94
735,2020-12-14 04:19:00,2020-12-14 04:20:00,60,GW1,cpu,COMPLETED,6ca1880a-c8a2-40b0-a78a-f37e1f273177
736,2020-12-14 04:09:57,2020-12-14 04:11:27,90,GW111,network_packet_corrupt,COMPLETED,88907c0b-66b2-4437-872b-c350e09a9ae9
737,2020-12-14 04:21:30,2020-12-14 04:23:30,120,GW111,diskio,COMPLETED,95153bd0-86a1-4269-a61d-ee33f1d01887
738,2020-12-14 04:21:00,2020-12-14 04:22:30,90,SRV,memory,FAILED,b7ed797e-698e-479b-a9b6-c539b78bf05c
739,2020-12-14 04:15:59,2020-12-14 04:17:29,90,GW11,cpu,COMPLETED,7d4ae8b0-cf70-48b9-b767-731551abafac
740,2020-12-14 04:18:00,2020-12-14 04:19:30,90,SRV,network_packet_duplicate,COMPLETED,5276aef5-7da5-46f1-9d04-19518dd22ae0
